#Creado el 8/5/2020
#Autor: Eduardo Roldán Hervás
#Listados de menús semanales
#Se han omitido adrede las tildes para evitar problemas
#comidaLunes,cenaLunes,comidaMartes,cenaMartes,comidaMiercoles,cenaMiercoles,comidaJueves,cenaJueves,comidaViernes,cenaViernes,comidaSabado,cenaSabado,comidaDomingo,cenaDomingo

1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,15,16,17,18,19,7,4,20,12,21,3,22,23
1,24,3,25,26,27,28,17,20,29,30,12,19,31
1,32,6,33,20,29,28,25,22,34,13,17,24,31
40,41,1,4,35,6,36,37,20,29,28,38,39,12
13,42,1,43,22,44,40,45,9,46,28,47,19,24
3,48,49,50,40,12,51,52,22,33,1,47,53,54
55,37,56,50,40,57,19,6,22,58,59,12,1,60
53,54,40,12,3,6,28,61,1,62,39,63,9,4
3,14,22,64,40,6,19,25,56,65,9,61,66,67
68,3,1,69,19,70,71,4,72,73,13,74,30,12
22,6,56,75,1,62,13,76,51,14,9,12,19,69
3,2,77,4,78,8,79,6,13,80,81,12,19,62
