1,garbanzos con chorizo
2,sandwich mixtos vegetales
3,sopa y salmon y picoteo
4,perritos y picoteo
5,albondigas y pure de patatas con queso
6,ensalada Cesar y nuggets
7,migas con huevo frito y ensalada
8,sandwich de salmon y sandwich de pate con frambuesa
9,espinacas con nata y merluza
10,tortilla y salchichas frescas
11,ensalada campera y pollo puntitos
12,hamburguesas
13,cuartos traseros a la cerveza
14,pizza y quiche
15,crema verduras y merluza rebozada
16,arroz blanco y carne
17,sopa y salchichas frescas
18,ensalada americana
19,albondigas y patatas fritas
20,lasaña
21,espinacas con bechamel y pollo puntitos
22,macarrones rojos
23,tortilla de calabacin y rabas
24,guisantes con jamon y merluza rebozada
25,sandwich mixtos
26,pescado y ensalada de cangrejo
27,crema de verduras y chuletas de aguja
28,arroz a la cubana y jamon serrano
29,ensalada de judias verdes con salmon y rabas y croquetas
30,espinacas con nata y lomo adobado
31,tortilla francesa y ternera blanca
32,sopa y alitas y nuggets
33,crema de calabaza y salchichas frescas
34,tortilla de calabacin y tostas de pate y bacon
35,fritada de merluza y huevo
36,crema de calabaza y lacon con patatas
37,sopa con huevo y chuletas
38,bocadillos de lomo y queso
39,macarrones blancos
40,lentejas
41,tinteros
42,pizza y nuggets
43,sopa con huevo y milhojas
44,crema de cabalaza y pollo con puntitos
45,ensalada de judias verdes con salmon y chuletas de aguja
46,ensalada de lechuga y croquetas y empanadillas y rabas
47,sandwich mixto y maiz frito
48,ensalada de lechuga y san jacobos con lomo
49,arroz milanesa y ensalada de pimientos con atun
50,crema de calabaza y tortilla de calabacin
51,patatas con huevo y chistorra y pimiento
52,ensalada de atun con tomate y empanadillas y rabas
53,contramuslos a la cerveza
54,guisantes con jamon y chuletas de aguja
55,pollo con tomate y patatas fritas
56,salchichas frescas y pure de patata con queso
57,ensalada de judias verdes y san jacobos
58,salchipapas con nata
59,ensalada campera y merluza
60,sopa sin huevo y revuelto de huevos con bacon y queso
61,bocadillos de bacon y queso y tomate
62,sandwiches mixtos y tortilla francesa
63,pollo con puntitos y maiz frito
64,crema de calabaza y lomo adobado empanado
65,milhojas y chuletas
66,ensalada campera y lomo empanado
67,tortilla de calabacin y chuletas de cordero
68,pollo con tomate y huevo duro y ensalada de tomate
69,lomo y tortilla francesa
70,rollitos de primavera y arroz tres delicias
71,sopa y lomo a la plancha y ensalada
72,pimientos rellenos gratinados y merluza con tomate
73,boquerones fritos y rabas y empanadillas
74,picoteo
75,sopa y chuletas de aguja
76,milhojas y lomo empanado
77,ensalada campera y chuletas de aguja
78,pure y pollo con tomate
79,huevos rellenos y filetes rusos
80,san jacobos y picoteo
81,chuletas de cordero y croquetas
