1,garbanzos con chorizo,O
2,sandwich mixtos vegetales,A
3,sopa y salmon y picoteo,A
4,perritos y picoteo,A
5,albondigas y pure de patatas con queso,O
6,ensalada Cesar y nuggets,A
7,migas con huevo frito y ensalada,O
8,sandwich de salmon y sandwich de pate con frambuesa,A
9,espinacas con nata y merluza,O
10,tortilla y salchichas frescas,A
11,ensalada campera y pollo puntitos,O
12,hamburguesas,A
13,cuartos traseros a la cerveza,O
14,pizza y quiche,A
15,crema verduras y merluza rebozada,A
16,arroz blanco y carne,O
17,sopa y salchichas frescas,A
18,ensalada americana,A
19,albondigas y patatas fritas,O
20,lasaña,O
21,espinacas con bechamel y pollo puntitos,O
22,macarrones rojos,O
23,tortilla de calabacin y rabas,A
24,guisantes con jamon y merluza rebozada,A
25,sandwich mixtos,A
26,pescado y ensalada de cangrejo,A
27,crema de verduras y chuletas de aguja,A
28,arroz a la cubana y jamon serrano,O
29,ensalada de judias verdes con salmon y rabas y croquetas,A
30,espinacas con nata y lomo adobado,O
31,tortilla francesa y ternera blanca,A
32,sopa y alitas y nuggets,A
33,crema de calabaza y salchichas frescas,A
34,tortilla de calabacin y tostas de pate y bacon,A
35,fritada de merluza y huevo,O
36,crema de calabaza y lacon con patatas,A
37,sopa con huevo y chuletas,A
38,bocadillos de lomo y queso,A
39,macarrones blancos,O
40,lentejas,O
41,tinteros,A
42,pizza y nuggets,A
43,sopa con huevo y milhojas,A
44,crema de cabalaza y pollo con puntitos,A
45,ensalada de judias verdes con salmon y chuletas de aguja,A
46,ensalada de lechuga y croquetas y empanadillas y rabas,A
47,sandwich mixto y maiz frito,A
48,ensalada de lechuga y san jacobos con lomo,A
49,arroz milanesa y ensalada de pimientos con atun,O
50,crema de calabaza y tortilla de calabacin,A
51,patatas con huevo y chistorra y pimiento,O
52,ensalada de atun con tomate y empanadillas y rabas,A
53,contramuslos a la cerveza,O
54,guisantes con jamon y chuletas de aguja,A
55,pollo con tomate y patatas fritas,A
56,salchichas frescas y pure de patata con queso,A
57,ensalada de judias verdes y san jacobos,A
58,salchipapas con nata,A
59,ensalada campera y merluza,O
60,sopa sin huevo y revuelto de huevos con bacon y queso,A
61,bocadillos de bacon y queso y tomate,A
62,sandwiches mixtos y tortilla francesa,A
63,pollo con puntitos y maiz frito,A
64,crema de calabaza y lomo adobado empanado,A
65,milhojas y chuletas,A
66,ensalada campera y lomo empanado,O
67,tortilla de calabacin y chuletas de cordero,A
68,pollo con tomate y huevo duro y ensalada de tomate,A
69,lomo y tortilla francesa,A
70,rollitos de primavera y arroz tres delicias,A
71,sopa y lomo a la plancha y ensalada,A
72,pimientos rellenos gratinados y merluza con tomate,O
73,boquerones fritos y rabas y empanadillas,A
74,picoteo,A
75,sopa y chuletas de aguja,A
76,milhojas y lomo empanado,A
77,ensalada campera y chuletas de aguja,O
78,pure y pollo con tomate,A
79,huevos rellenos y filetes rusos,O
80,san jacobos y picoteo,A
81,chuletas de cordero y croquetas,A
