#Creado el 16/7/2020
#Autor: Eduardo Roldán Hervás
#Listados de menús semanales
#Se han omitido adrede las tildes para evitar problemas
#comidaLunes,cenaLunes,comidaMartes,cenaMartes,comidaMiercoles,cenaMiercoles,comidaJueves,cenaJueves,comidaViernes,cenaViernes,comidaSabado,cenaSabado,comidaDomingo,cenaDomingo

1,82,79,77,5,72,7,66,9,59,11,53,13,51
1,49,16,40,39,19,7,77,20,53,21,79,22,35
1,30,79,28,26,27,25,40,20,29,24,53,19,31
1,32,72,33,20,29,25,28,22,34,13,40,30,31
17,41,1,77,23,72,36,37,20,29,25,38,18,53
13,42,1,43,22,44,17,45,9,46,25,47,19,30
79,48,15,50,17,53,14,52,22,33,1,47,12,54
55,37,56,50,17,57,19,72,22,58,10,53,1,60
12,54,17,53,79,72,25,61,1,62,18,63,9,77
79,51,22,64,17,72,19,28,56,65,9,61,8,67
68,79,1,69,19,70,71,77,6,73,13,74,24,53
22,72,56,75,1,62,13,76,14,51,9,53,19,69
79,82,4,77,78,66,3,72,13,80,81,53,19,62
